parking_set_type,parking_set_size,time_ms,path_distance
ev,56011,3.2004799999999998,102654146
ev,56011,7.740608000000001,NaN
ev,56011,5.222183,NaN
ev,56011,11.980279,NaN
ev,56011,0.16671,NaN
ev,56011,3.7667059999999997,174454149
ev,56011,8.37026,NaN
ev,56011,1.4832809999999998,152920613
ev,56011,0.218576,NaN
ev,56011,4.198894,103474386
ev,56011,4.3587299999999995,111855218
ev,56011,4.453101,NaN
ev,56011,4.427195,NaN
ev,56011,2.969485,75336520
ev,56011,1.814315,20414900
ev,56011,2.047236,32721100
ev,56011,1.6488710000000002,20086253
ev,56011,4.799531999999999,NaN
ev,56011,1.645929,76715476
ev,56011,1.367245,9390411
ev,56011,11.757966999999999,NaN
ev,56011,4.038464,235305690
ev,56011,1.301175,20319951
ev,56011,3.175121,NaN
ev,56011,0.6490279999999999,NaN
ev,56011,1.94695,34231746
ev,56011,1.9689070000000002,22918079
ev,56011,4.610983,310332488
ev,56011,2.015883,30255200
ev,56011,3.145199,175615123
ev,56011,1.943951,148118085
ev,56011,2.4710829999999997,111339646
ev,56011,0.5454249999999999,NaN
ev,56011,3.988188,102940151
ev,56011,4.379414,170709249
ev,56011,1.414033,12716178
ev,56011,6.663766,NaN
ev,56011,8.338292000000001,NaN
ev,56011,4.815589,113425254
ev,56011,0.68445,NaN
ev,56011,4.392667,107994716
ev,56011,6.967613,NaN
ev,56011,2.641222,162100185
ev,56011,11.589309,NaN
ev,56011,1.3030419999999998,15105406
ev,56011,4.797415999999999,148344698
ev,56011,9.373942,NaN
ev,56011,1.950515,92236044
ev,56011,2.508699,95248437
ev,56011,4.265712,231945614
ev,56011,2.651377,79541810
ev,56011,3.243034,219736824
ev,56011,6.060359,146383465
ev,56011,9.376172,NaN
ev,56011,2.2796700000000003,32130040
ev,56011,2.913608,NaN
ev,56011,3.4913309999999997,88411426
ev,56011,1.7100609999999998,4186257
ev,56011,2.069702,29582311
ev,56011,11.681716999999999,NaN
ev,56011,2.024531,22854923
ev,56011,2.30093,14366677
ev,56011,7.3999310000000005,NaN
ev,56011,4.927927,NaN
ev,56011,3.8921759999999996,220155248
ev,56011,1.089816,102999907
ev,56011,4.333127,233269092
ev,56011,2.089401,76733231
ev,56011,1.6687500000000002,14048382
ev,56011,3.838134,NaN
ev,56011,4.625544,241454531
ev,56011,1.20612,26115555
ev,56011,3.534309,156907879
ev,56011,4.166595,171932707
ev,56011,3.0521749999999996,163841052
ev,56011,5.503395,NaN
ev,56011,9.561736,NaN
ev,56011,10.745237,164968387
ev,56011,4.740262,279682581
ev,56011,9.245217,236069327
ev,56011,3.2344470000000003,108489904
ev,56011,3.5659929999999997,168038737
ev,56011,9.646272,311713810
ev,56011,8.748850000000001,NaN
ev,56011,10.666712,NaN
ev,56011,4.363846000000001,310712514
ev,56011,2.147741,15171330
ev,56011,8.538632000000002,232458908
ev,56011,14.685051,NaN
ev,56011,3.8744460000000003,32095268
ev,56011,4.912019,210730071
ev,56011,2.609191,154421356
ev,56011,2.404617,23985051
ev,56011,3.3625730000000003,112923842
