algo,graph_num_nodes,graph_num_edges,num_queue_pushes,num_settled,num_labels_propagated,num_labels_reset,num_nodes_searched,time_ms,path_distance,path_number_nodes,path_number_flagged_nodes,path_number_short_pauses,path_number_long_pauses
dijkstra_bidir_chpot,12547874,29477659,15661041,18230272,19959144,3817,6313467,2026.3735129999998,9647847,907,0,0,0
astar_bidir_chpot,12547874,29477659,1197,913,1204,0,913,1.85652,9647847,907,0,0,0
core_ch,12547874,29477659,1197,913,1204,0,913,103.679558,9647847,907,0,0,0
core_ch_chpot,12547874,29477659,1197,913,1204,0,913,4.230772,9647847,907,0,0,0
dijkstra,12547874,29477659,23515651,28047927,30484810,4579,7073626,43484.341852,13592439,1155,0,0,0
astar_chpot,12547874,29477659,1382,1155,1389,1,1155,1.812817,13592439,1155,0,0,0
dijkstra_bidir_chpot,12547874,29477659,23515651,28047927,30484810,4579,7073626,10920.568694,13592439,1155,0,0,0
astar_bidir_chpot,12547874,29477659,1382,1155,1389,1,1155,3.115818,13592439,1155,0,0,0
core_ch,12547874,29477659,1382,1155,1389,1,1155,173.571394,13592439,1155,0,0,0
core_ch_chpot,12547874,29477659,1382,1155,1389,1,1155,4.595051,13592439,1155,0,0,0
dijkstra,12547874,29477659,18060275,21935759,23787229,3989,7239659,34109.1979,11280372,1373,0,0,0
astar_chpot,12547874,29477659,1781,1373,1788,0,1373,1.8052789999999999,11280372,1373,0,0,0
dijkstra_bidir_chpot,12547874,29477659,18060275,21935759,23787229,3989,7239659,4270.894763,11280372,1373,0,0,0
astar_bidir_chpot,12547874,29477659,1781,1373,1788,0,1373,2.508092,11280372,1373,0,0,0
core_ch,12547874,29477659,1781,1373,1788,0,1373,122.835417,11280372,1373,0,0,0
core_ch_chpot,12547874,29477659,1781,1373,1788,0,1373,2.664031,11280372,1373,0,0,0
dijkstra,12547874,29477659,27915835,32480584,35148527,5878,8178004,49797.060848999994,15215860,1519,0,0,0
astar_chpot,12547874,29477659,1769,1526,1790,8,1526,2.085843,15215860,1519,0,0,0
dijkstra_bidir_chpot,12547874,29477659,27915835,32480584,35148527,5878,8178004,19335.255474,15215860,1519,0,0,0
astar_bidir_chpot,12547874,29477659,1769,1526,1790,8,1526,2.5260119999999997,15215860,1519,0,0,0
core_ch,12547874,29477659,1769,1526,1790,8,1526,184.23967,15215860,1519,0,0,0
core_ch_chpot,12547874,29477659,1769,1526,1790,8,1526,2.855316,15215860,1519,0,0,0
dijkstra_chpot,12547874,29477659,2,2,1,0,2,0.899396,NaN,NaN,NaN,NaN,NaN
astar_chpot,12547874,29477659,2,2,1,0,2,0.233755,NaN,NaN,NaN,NaN,NaN
dijkstra_bidir_chpot,12547874,29477659,2,2,1,0,2,1.284384,NaN,NaN,NaN,NaN,NaN
astar_bidir_chpot,12547874,29477659,2,2,1,0,2,0.5604129999999999,NaN,NaN,NaN,NaN,NaN
core_ch,12547874,29477659,2,2,1,0,2,126.465406,NaN,NaN,NaN,NaN,NaN
core_ch_chpot,12547874,29477659,2,2,1,0,2,0.836094,NaN,NaN,NaN,NaN,NaN
dijkstra,12547874,29477659,40397804,52560996,56961119,7559,8693859,86244.070784,19839050,1559,1,1,0
astar_chpot,12547874,29477659,4266,3626,4367,1,2637,4.0738579999999995,19839050,1559,1,1,0
dijkstra_bidir_chpot,12547874,29477659,40397804,52560996,56961119,7559,8693859,24031.518163,19839050,1559,1,1,0
astar_bidir_chpot,12547874,29477659,4266,3626,4367,1,2637,7.182681,19839050,1559,1,1,0
core_ch,12547874,29477659,4266,3626,4367,1,2637,211.237251,19839050,1559,1,1,0
core_ch_chpot,12547874,29477659,4266,3626,4367,1,2637,6.133261,19839050,1559,1,1,0
dijkstra,12547874,29477659,18425244,21322082,23139611,3728,5909514,31879.47409,13846064,1464,0,0,0
astar_chpot,12547874,29477659,1896,1464,1908,1,1464,2.102057,13846064,1464,0,0,0
dijkstra_bidir_chpot,12547874,29477659,18425244,21322082,23139611,3728,5909514,6995.112593,13846064,1464,0,0,0
astar_bidir_chpot,12547874,29477659,1896,1464,1908,1,1464,2.5390550000000003,13846064,1464,0,0,0
core_ch,12547874,29477659,1896,1464,1908,1,1464,175.550924,13846064,1464,0,0,0
core_ch_chpot,12547874,29477659,1896,1464,1908,1,1464,3.406622,13846064,1464,0,0,0
dijkstra,12547874,29477659,19442768,22163411,24082744,4345,6452089,33947.074144,12433128,1289,0,0,0
astar_chpot,12547874,29477659,1579,1296,1611,9,1296,1.772505,12433128,1289,0,0,0
dijkstra_bidir_chpot,12547874,29477659,19442768,22163411,24082744,4345,6452089,6733.744750999999,12433128,1289,0,0,0
astar_bidir_chpot,12547874,29477659,1579,1296,1611,9,1296,2.289361,12433128,1289,0,0,0
core_ch,12547874,29477659,1579,1296,1611,9,1296,149.906083,12433128,1289,0,0,0
core_ch_chpot,12547874,29477659,1579,1296,1611,9,1296,3.349602,12433128,1289,0,0,0
dijkstra,12547874,29477659,8937944,10280738,11240894,2335,4884988,14772.715754,9482341,1051,0,0,0
astar_chpot,12547874,29477659,1281,1051,1281,0,1051,1.450579,9482341,1051,0,0,0
dijkstra_bidir_chpot,12547874,29477659,8937944,10280738,11240894,2335,4884988,2322.935147,9482341,1051,0,0,0
astar_bidir_chpot,12547874,29477659,1281,1051,1281,0,1051,2.173006,9482341,1051,0,0,0
core_ch,12547874,29477659,1281,1051,1281,0,1051,94.535319,9482341,1051,0,0,0
core_ch_chpot,12547874,29477659,1281,1051,1281,0,1051,3.807659,9482341,1051,0,0,0
dijkstra,12547874,29477659,132360,131017,138557,94,131017,85.76792599999999,1410189,271,0,0,0
astar_chpot,12547874,29477659,448,271,447,0,271,0.7713709999999999,1410189,271,0,0,0
dijkstra_bidir_chpot,12547874,29477659,132360,131017,138557,94,131017,32.606994,1410189,271,0,0,0
astar_bidir_chpot,12547874,29477659,448,271,447,0,271,1.419845,1410189,271,0,0,0
core_ch,12547874,29477659,448,271,447,0,271,2.415071,1410189,271,0,0,0
core_ch_chpot,12547874,29477659,448,271,447,0,271,0.5952550000000001,1410189,271,0,0,0
dijkstra,12547874,29477659,7432169,7675166,8336993,2146,4108682,10227.988299,9222774,878,0,0,0
astar_chpot,12547874,29477659,1143,878,1148,1,878,1.614224,9222774,878,0,0,0
dijkstra_bidir_chpot,12547874,29477659,7432169,7675166,8336993,2146,4108682,1143.9938869999999,9222774,878,0,0,0
astar_bidir_chpot,12547874,29477659,1143,878,1148,1,878,2.709763,9222774,878,0,0,0
core_ch,12547874,29477659,1143,878,1148,1,878,59.199024,9222774,878,0,0,0
core_ch_chpot,12547874,29477659,1143,878,1148,1,878,3.2476789999999998,9222774,878,0,0,0
dijkstra,12547874,29477659,14377714,15693030,16999986,3116,5408985,22430.42582,11253987,1065,0,0,0
astar_chpot,12547874,29477659,1232,1065,1233,0,1065,1.441431,11253987,1065,0,0,0
dijkstra_bidir_chpot,12547874,29477659,14377714,15693030,16999986,3116,5408985,4577.372408,11253987,1065,0,0,0
astar_bidir_chpot,12547874,29477659,1232,1065,1233,0,1065,1.871062,11253987,1065,0,0,0
core_ch,12547874,29477659,1232,1065,1233,0,1065,115.922707,11253987,1065,0,0,0
core_ch_chpot,12547874,29477659,1232,1065,1233,0,1065,2.515494,11253987,1065,0,0,0
dijkstra,12547874,29477659,44380949,56521625,60833027,8727,9329089,91871.981214,20015280,2054,2,1,0
astar_chpot,12547874,29477659,8838,6803,9314,8,5153,7.9441310000000005,20015280,2054,2,1,0
dijkstra_bidir_chpot,12547874,29477659,44380949,56521625,60833027,8727,9329089,35611.607846,20015280,2054,2,1,0
astar_bidir_chpot,12547874,29477659,8838,6803,9314,8,5153,16.827068,20015280,2054,2,1,0
core_ch,12547874,29477659,8838,6803,9314,8,5153,241.13035,20015280,2054,2,1,0
core_ch_chpot,12547874,29477659,8838,6803,9314,8,5153,4.359264,20015280,2054,2,1,0
dijkstra,12547874,29477659,20022577,23736750,25764959,3917,6092484,35971.35466600001,14714868,1728,0,0,0
astar_chpot,12547874,29477659,2123,1728,2141,2,1728,2.315859,14714868,1728,0,0,0
dijkstra_bidir_chpot,12547874,29477659,20022577,23736750,25764959,3917,6092484,6265.324778,14714868,1728,0,0,0
astar_bidir_chpot,12547874,29477659,2123,1728,2141,2,1728,5.102658000000001,14714868,1728,0,0,0
core_ch,12547874,29477659,2123,1728,2141,2,1728,138.58062700000002,14714868,1728,0,0,0
core_ch_chpot,12547874,29477659,2123,1728,2141,2,1728,2.566405,14714868,1728,0,0,0
dijkstra,12547874,29477659,27224065,32658885,35436837,5363,8125786,52585.315785,13024062,1084,0,0,0
astar_chpot,12547874,29477659,1267,1084,1268,0,1084,1.496611,13024062,1084,0,0,0
dijkstra_bidir_chpot,12547874,29477659,27224065,32658885,35436837,5363,8125786,7700.353249,13024062,1084,0,0,0
astar_bidir_chpot,12547874,29477659,1267,1084,1268,0,1084,3.007586,13024062,1084,0,0,0
core_ch,12547874,29477659,1267,1084,1268,0,1084,154.280506,13024062,1084,0,0,0
core_ch_chpot,12547874,29477659,1267,1084,1268,0,1084,2.992219,13024062,1084,0,0,0
dijkstra,12547874,29477659,1039446,1028869,1118398,313,879022,923.5839970000001,5760893,848,0,0,0
astar_chpot,12547874,29477659,1338,848,1368,0,848,1.599381,5760893,848,0,0,0
dijkstra_bidir_chpot,12547874,29477659,1039446,1028869,1118398,313,879022,341.320631,5760893,848,0,0,0
astar_bidir_chpot,12547874,29477659,1338,848,1368,0,848,2.318722,5760893,848,0,0,0
core_ch,12547874,29477659,1338,848,1368,0,848,15.517358999999999,5760893,848,0,0,0
core_ch_chpot,12547874,29477659,1338,848,1368,0,848,1.292559,5760893,848,0,0,0
dijkstra,12547874,29477659,51773655,73417550,78994285,11078,10838671,121209.11522,22478633,1761,2,1,0
astar_chpot,12547874,29477659,4758,4058,4863,32,3470,4.241687,22478633,1761,2,1,0
dijkstra_bidir_chpot,12547874,29477659,51773655,73417550,78994285,11078,10838671,37049.940617,22478633,1761,2,1,0
astar_bidir_chpot,12547874,29477659,4758,4058,4863,32,3470,7.939909,22478633,1761,2,1,0
core_ch,12547874,29477659,4758,4058,4863,32,3470,347.756584,22478633,1761,2,1,0
core_ch_chpot,12547874,29477659,4758,4058,4863,32,3470,5.581247,22478633,1761,2,1,0
dijkstra,12547874,29477659,3995478,4031146,4403247,1047,2847644,5009.73757,7112988,1012,0,0,0
astar_chpot,12547874,29477659,1312,1012,1319,0,1012,1.5117019999999999,7112988,1012,0,0,0
dijkstra_bidir_chpot,12547874,29477659,3995478,4031146,4403247,1047,2847644,1462.1971600000002,7112988,1012,0,0,0
astar_bidir_chpot,12547874,29477659,1312,1012,1319,0,1012,2.232042,7112988,1012,0,0,0
core_ch,12547874,29477659,1312,1012,1319,0,1012,53.433113,7112988,1012,0,0,0
core_ch_chpot,12547874,29477659,1312,1012,1319,0,1012,1.678285,7112988,1012,0,0,0
dijkstra,12547874,29477659,325398,324950,352676,405,273395,243.608814,4882388,741,0,0,0
astar_chpot,12547874,29477659,1056,741,1069,0,741,1.134384,4882388,741,0,0,0
dijkstra_bidir_chpot,12547874,29477659,325398,324950,352676,405,273395,89.269058,4882388,741,0,0,0
astar_bidir_chpot,12547874,29477659,1056,741,1069,0,741,1.802302,4882388,741,0,0,0
core_ch,12547874,29477659,1056,741,1069,0,741,5.081665,4882388,741,0,0,0
core_ch_chpot,12547874,29477659,1056,741,1069,0,741,1.253289,4882388,741,0,0,0
dijkstra,12547874,29477659,22824901,26958715,29317704,4787,7488872,42983.975108000006,11632327,1623,0,0,0
astar_chpot,12547874,29477659,2296,1623,2318,0,1623,2.308843,11632327,1623,0,0,0
dijkstra_bidir_chpot,12547874,29477659,22824901,26958715,29317704,4787,7488872,6498.362897,11632327,1623,0,0,0
astar_bidir_chpot,12547874,29477659,2296,1623,2318,0,1623,2.8021220000000002,11632327,1623,0,0,0
core_ch,12547874,29477659,2296,1623,2318,0,1623,151.038991,11632327,1623,0,0,0
core_ch_chpot,12547874,29477659,2296,1623,2318,0,1623,2.118969,11632327,1623,0,0,0
dijkstra,12547874,29477659,29198896,34285253,37192933,5514,8838775,54353.906959,16096712,1481,0,0,0
astar_chpot,12547874,29477659,1713,1493,1721,2,1493,1.721212,16096712,1481,0,0,0
dijkstra_bidir_chpot,12547874,29477659,29198896,34285253,37192933,5514,8838775,16730.782804000002,16096712,1481,0,0,0
astar_bidir_chpot,12547874,29477659,1713,1493,1721,2,1493,2.206233,16096712,1481,0,0,0
core_ch,12547874,29477659,1713,1493,1721,2,1493,196.897214,16096712,1481,0,0,0
core_ch_chpot,12547874,29477659,1713,1493,1721,2,1493,2.8437520000000003,16096712,1481,0,0,0
dijkstra,12547874,29477659,6007850,6467687,7066288,1734,3944334,8315.167022000001,8314751,1251,0,0,0
astar_chpot,12547874,29477659,2005,1251,2041,0,1251,2.183375,8314751,1251,0,0,0
dijkstra_bidir_chpot,12547874,29477659,6007850,6467687,7066288,1734,3944334,1097.047969,8314751,1251,0,0,0
astar_bidir_chpot,12547874,29477659,2005,1251,2041,0,1251,2.7312679999999996,8314751,1251,0,0,0
core_ch,12547874,29477659,2005,1251,2041,0,1251,65.83433099999999,8314751,1251,0,0,0
