algo,dijkstra_rank_exponent,graph_num_nodes,graph_num_edges,num_queue_pushes,num_settled,num_labels_propagated,num_labels_reset,num_nodes_searched,time_ms,path_distance,path_number_nodes,path_number_flagged_nodes,path_number_short_pauses,path_number_long_pauses
astar_chpot,9,81505729,189837356,75,47,76,0,47,0.35444600000000004,288406,47,0,0,0
astar_chpot,10,81505729,189837356,21,11,21,0,11,0.829964,430644,11,0,0,0
astar_chpot,11,81505729,189837356,65,38,66,0,38,0.820087,680270,38,0,0,0
astar_chpot,12,81505729,189837356,107,57,108,0,57,0.595901,1068620,57,0,0,0
astar_chpot,13,81505729,189837356,312,192,314,0,192,0.640099,1306967,192,0,0,0
astar_chpot,14,81505729,189837356,371,221,373,0,221,0.756711,1433281,221,0,0,0
astar_chpot,15,81505729,189837356,430,245,433,0,245,0.699441,1568385,245,0,0,0
astar_chpot,16,81505729,189837356,577,316,590,0,316,1.185726,1833548,316,0,0,0
astar_chpot,17,81505729,189837356,392,282,395,0,282,1.7946570000000002,2868278,282,0,0,0
astar_chpot,18,81505729,189837356,604,412,620,0,412,0.744833,3810285,412,0,0,0
astar_chpot,19,81505729,189837356,718,513,723,0,513,1.374512,5245568,513,0,0,0
astar_chpot,20,81505729,189837356,731,542,737,0,542,1.4597220000000002,7562408,542,0,0,0
astar_chpot,21,81505729,189837356,1284,903,1292,0,903,1.502096,9938164,903,0,0,0
astar_chpot,22,81505729,189837356,1706,1082,1723,0,1082,1.8000850000000002,14127162,1082,0,0,0
astar_chpot,23,81505729,189837356,29978,24619,31379,6,24387,21.382058,23375967,1352,5,1,0
astar_chpot,24,81505729,189837356,4454,3850,4545,7,3635,4.849934,30741608,2201,2,1,0
astar_chpot,25,81505729,189837356,42453,47165,55508,97,9142,20.248769,83646406,3157,5,2,1
astar_chpot,0,81505729,189837356,4,1,3,0,1,0.231214,0,1,0,0,0
astar_chpot,1,81505729,189837356,5,2,4,0,2,0.452351,9360,2,0,0,0
astar_chpot,2,81505729,189837356,5,3,4,0,3,0.18122400000000002,14976,3,0,0,0
astar_chpot,3,81505729,189837356,9,4,8,0,4,0.185054,78336,4,0,0,0
astar_chpot,4,81505729,189837356,12,5,11,0,5,0.19112600000000002,99216,5,0,0,0
astar_chpot,5,81505729,189837356,18,9,17,0,9,0.20268,127584,9,0,0,0
astar_chpot,6,81505729,189837356,28,17,27,0,17,0.197858,134496,16,0,0,0
astar_chpot,7,81505729,189837356,17,8,16,0,8,0.19186,186336,8,0,0,0
astar_chpot,8,81505729,189837356,24,13,23,0,13,0.245531,732816,13,0,0,0
astar_chpot,9,81505729,189837356,65,34,66,0,34,0.782602,1079088,34,0,0,0
astar_chpot,10,81505729,189837356,74,40,74,0,40,0.374276,1273860,40,0,0,0
