algo,dijkstra_rank_exponent,graph_num_nodes,graph_num_edges,num_queue_pushes,num_settled,num_labels_propagated,num_labels_reset,num_nodes_searched,time_ms,path_distance,path_number_nodes,path_number_flagged_nodes,path_number_pauses
astar_chpot,9,81505729,189837356,58,32,58,0,32,0.5222640000000001,584488,32,0,0
astar_chpot,10,81505729,189837356,79,45,79,0,45,0.383016,806686,45,0,0
astar_chpot,11,81505729,189837356,99,56,99,0,56,0.25040799999999996,1042990,56,0,0
astar_chpot,12,81505729,189837356,200,114,200,0,114,0.46551699999999996,1318598,114,0,0
astar_chpot,13,81505729,189837356,179,96,179,0,96,0.893992,1547994,96,0,0
astar_chpot,14,81505729,189837356,309,166,311,0,166,0.387053,1889075,166,0,0
astar_chpot,15,81505729,189837356,312,160,319,0,160,0.548732,2927242,160,0,0
astar_chpot,16,81505729,189837356,876,478,886,0,478,0.906328,4635065,477,0,0
astar_chpot,17,81505729,189837356,909,488,928,0,488,1.3736869999999999,6921030,488,0,0
astar_chpot,18,81505729,189837356,1032,546,1049,0,546,0.933218,10678180,546,0,0
astar_chpot,19,81505729,189837356,477507,477507,539562,0,477507,342.61205099999995,NaN,NaN,NaN,NaN
astar_chpot,20,81505729,189837356,477507,477507,539699,0,477507,479.061501,NaN,NaN,NaN,NaN
astar_chpot,21,81505729,189837356,477507,477507,539663,0,477507,486.339881,NaN,NaN,NaN,NaN
astar_chpot,22,81505729,189837356,477507,477507,539666,0,477507,482.256214,NaN,NaN,NaN,NaN
astar_chpot,23,81505729,189837356,477507,477507,539666,0,477507,481.05377100000004,NaN,NaN,NaN,NaN
astar_chpot,24,81505729,189837356,477507,477507,539666,0,477507,538.361449,NaN,NaN,NaN,NaN
astar_chpot,25,81505729,189837356,477507,477507,539612,0,477507,463.47238600000003,NaN,NaN,NaN,NaN
astar_bidir_chpot,0,81505729,189837356,4,1,3,0,1,12.161897,0,1,0,0
astar_bidir_chpot,1,81505729,189837356,4,2,3,0,2,1.964061,27900,2,0,0
astar_bidir_chpot,2,81505729,189837356,7,3,6,0,3,1.982621,33966,3,0,0
astar_bidir_chpot,3,81505729,189837356,11,5,10,0,5,1.983173,39582,5,0,0
astar_bidir_chpot,4,81505729,189837356,14,8,13,0,8,1.9809860000000001,70308,8,0,0
astar_bidir_chpot,5,81505729,189837356,20,10,19,0,10,2.164797,208062,10,0,0
astar_bidir_chpot,6,81505729,189837356,29,14,28,0,14,3.529506,312948,14,0,0
